carrier,carrier_name
9E,Endeavor Air Inc.
AA,American Airlines Network
AS,Alaska Airlines Network
B6,JetBlue Airways
C5,CommuteAir LLC dba CommuteAir
DL,Delta Air Lines Network
F9,Frontier Airlines
G4,Allegiant Air
G7,GoJet Airlines LLC d/b/a United Express
HA,Hawaiian Airlines Network
MQ,Envoy Air
NK,Spirit Airlines
OH,PSA Airlines Inc.
OO,SkyWest Airlines Inc.
PT,Piedmont Airlines
QX,Horizon Air
UA,United Air Lines Network
WN,Southwest Airlines
YV,Mesa Airlines Inc.
YX,Republic Airline
ZW,Air Wisconsin Airlines Corp
C5,"Commutair Aka Champlain Enterprises, Inc."
EM,Empire Airlines Inc.
EV,ExpressJet Airlines LLC
AX,Trans States Airlines
CP,Compass Airlines
KS,Peninsula Airways Inc.
EV,ExpressJet Airlines Inc.
9K,Cape Air
VX,Virgin America
AA,American Airlines Inc.
AS,Alaska Airlines Inc.
DL,Delta Air Lines Inc.
UA,United Air Lines Inc.
WN,Southwest Airlines Co.
F9,Frontier Airlines Inc.
HA,Hawaiian Airlines Inc.
NK,Spirit Air Lines
US,US Airways Inc.
FL,AirTran Airways Corporation
MQ,American Eagle Airlines Inc.
9E,Pinnacle Airlines Inc.
EV,Atlantic Southeast Airlines
XE,ExpressJet Airlines Inc.
CO,Continental Air Lines Inc.
OH,Comair Inc.
NW,Northwest Airlines Inc.
AQ,Aloha Airlines Inc.
TZ,ATA Airlines d/b/a ATA
RU,ExpressJet Airlines Inc.
DH,Independence Air
HP,America West Airlines Inc.
DH,Atlantic Coast Airlines
